No.	NAME	MW	AMW	Sp	Mv	Mp	Mi	GD	nTA	nBM	RBN	RBF	nDB	nTB	nN	nO	nS	nCL	nBR	nI	nHM	nHet	nX	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	Fsp3	max_conj_path	nStructures	totalcharge
234	50521010	574.84	6.5323	55.8302	0.591	0.6344	1.1312	0.0511	6	20	18	0.2	2	0	4	4	0	0	0	0	0	8	0	38.6364	4.5455	4.5455	0	14	20	0	0.4118	10	1	0
235	50521005	634.9	6.6135	60.262	0.5884	0.6277	1.1333	0.0464	8	20	20	0.2041	2	0	4	6	0	0	0	0	0	10	0	37.5	4.1667	6.25	0	16	20	0	0.4444	10	1	0
236	50520998	661	6.3558	64.8872	0.5784	0.6239	1.1366	0.0443	10	20	20	0.1887	2	0	6	4	0	0	0	0	0	10	0	36.5385	5.7692	3.8462	0	18	20	0	0.4737	10	1	0
237	50521006	630.96	6.3096	62.8758	0.5811	0.6288	1.1321	0.0464	6	20	22	0.2157	2	0	4	4	0	0	0	0	0	8	0	38	4	4	0	18	20	0	0.4737	10	1	0
238	50521011	662.96	6.4996	63.7848	0.5838	0.6253	1.1336	0.0443	8	20	22	0.2115	2	0	4	6	0	0	0	0	0	10	0	37.2549	3.9216	5.8824	0	18	20	0	0.4737	10	1	0
239	50521007	691.02	6.3983	67.3076	0.5796	0.6232	1.1339	0.0424	8	20	24	0.2182	2	0	4	6	0	0	0	0	0	10	0	37.037	3.7037	5.5556	0	20	20	0	0.5	10	1	0
240	50521001	602.9	6.4138	59.353	0.5858	0.6314	1.1317	0.0486	6	20	20	0.2083	2	0	4	4	0	0	0	0	0	8	0	38.2979	4.2553	4.2553	0	16	20	0	0.4444	10	1	0
241	11682	250.38	6.2595	24.5344	0.5685	0.6134	1.1392	0.1176	6	7	5	0.125	1	0	2	2	0	0	0	0	0	4	0	35	5	5	0	7	7	0	0.5	6	1	0
242	8960	379.54	6.6586	37.0288	0.606	0.6496	1.1217	0.082	3	13	6	0.1	1	0	1	3	0	0	0	0	0	4	0	42.1053	1.7544	5.2632	0	11	13	0	0.4583	8	1	0
243	50520997	518.72	6.8253	48.7846	0.604	0.6419	1.1301	0.0569	6	20	14	0.1795	2	0	4	4	0	0	0	0	0	8	0	39.4737	5.2632	5.2632	0	10	20	0	0.3333	10	1	0
244	50521004	606.84	6.7427	56.7392	0.5937	0.6304	1.133	0.0486	8	20	18	0.1957	2	0	4	6	0	0	0	0	0	10	0	37.7778	4.4444	6.6667	0	14	20	0	0.4118	10	1	0
245	50521001	602.9	6.4138	59.353	0.5858	0.6314	1.1317	0.0486	6	20	20	0.2083	2	0	4	4	0	0	0	0	0	8	0	38.2979	4.2553	4.2553	0	16	20	0	0.4444	10	1	0
246	11682	250.38	6.2595	24.5344	0.5685	0.6134	1.1392	0.1176	6	7	5	0.125	1	0	2	2	0	0	0	0	0	4	0	35	5	5	0	7	7	0	0.5	6	1	0
247	50520995	578.78	6.8902	53.2164	0.5998	0.6335	1.1326	0.0511	8	20	16	0.186	2	0	4	6	0	0	0	0	0	10	0	38.0952	4.7619	7.1429	0	12	20	0	0.375	10	1	0
248	50521002	546.78	6.668	52.3074	0.597	0.6379	1.1307	0.0538	6	20	16	0.1905	2	0	4	4	0	0	0	0	0	8	0	39.0244	4.878	4.878	0	12	20	0	0.375	10	1	0
249	50520995	578.78	6.8902	53.2164	0.5998	0.6335	1.1326	0.0511	8	20	16	0.186	2	0	4	6	0	0	0	0	0	10	0	38.0952	4.7619	7.1429	0	12	20	0	0.375	10	1	0
